"PolicyNo","Policy_Company","Policy_Installment_Term","Policy_Billing_Code","Policy_Method_Of_Payment","Policy_Reinstatement_Fee_Indicator","Policy_Zip_Code_Garaging_Location","Vehicle_Territory","Vehicle_Make_Year","Vehicle_Make_Description","Vehicle_Performance","Vehicle_New_Cost_Amount","Vehicle_Symbol","Vehicle_Number_Of_Drivers_Assigned","Vehicle_Usage","Vehicle_Miles_To_Work","Vehicle_Days_Per_Week_Driven","Vehicle_Annual_Miles","Vehicle_Anti_Theft_Device","Vehicle_Passive_Restraint","Vehicle_Age_In_Years","Vehicle_Med_Pay_Limit","Vehicle_Bodily_Injury_Limit","Vehicle_Physical_Damage_Limit","Vehicle_Comprehensive_Coverage_Indicator","Vehicle_Comprehensive_Coverage_Limit","Vehicle_Collision_Coverage_Indicator","Vehicle_Collision_Coverage_Deductible","Driver_Total","Driver_Total_Male","Driver_Total_Female","Driver_Total_Single","Driver_Total_Married","Driver_Total_Related_To_Insured_Self","Driver_Total_Related_To_Insured_Spouse","Driver_Total_Related_To_Insured_Child","Driver_Total_Licensed_In_State","Driver_Minimum_Age","Driver_Maximum_Age","Driver_Total_Teenager_Age_15_19","Driver_Total_College_Ages_20_23","Driver_Total_Young_Adult_Ages_24_29","Driver_Total_Low_Middle_Adult_Ages_30_39","Driver_Total_Middle_Adult_Ages_40_49","Driver_Total_Adult_Ages_50_64","Driver_Total_Senior_Ages_65_69","Driver_Total_Upper_Senior_Ages_70_plus","Vehicle_Youthful_Driver_Indicator","Vehicle_Youthful_Driver_Training_Code","Vehicle_Youthful_Good_Student_Code","Vehicle_Driver_Points","Vehicle_Safe_Driver_Discount_Indicator","EEA_Liability_Coverage_Only_Indicator","EEA_Multi_Auto_Policies_Indicator","EEA_Policy_Zip_Code_3","EEA_Policy_Tenure","EEA_Agency_Type","EEA_Packaged_Policy_Indicator","EEA_Full_Coverage_Indicator","EEA_Prior_Bodily_Injury_Limit","EEA_PolicyYear","SYS_Renewed","SYS_New_Business","Annual_Premium","Claim_Count","Loss_Amount","Frequency","Severity","Loss_Ratio"
"172520532","Standard ","6","Direct Billed to Insured","Installment","N","42868","35","2005","CHRY TOWN & COU  ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Alarm Only","Y","3","-1","100-300","50000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","35","35","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","16.0","Preferred","Y","Y","100-200","2006","Y","N","367.82","0","0.0","0.0","0.0","0.0"
"173068141","Standard ","6","Direct Billed to Insured","Pre-paid","N","44119","31","2003","CHEV AVALANCHE   ","Standard","-1","11","1","Farm    ","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","4","5000","100-300","50000","N","-1","Y","500","1","1","0","1","0","0","0","1","1","29","29","0","0","1","0","0","0","0","0","Y","With or Without Driver Training","Not Eligible for Good Student Credit","0","Y","N","Y","441","38.6","Preferred","Y","Y","100-200","2006","Y","N","375.24","0","0.0","0.0","0.0","0.0"
"173555532","Standard ","6","Direct Billed to Insured","Pre-paid","N","43158","30","2001","DODG DURANGO     ","Standard","-1","14","2","Pleasure","-1","5","Unknown","Not Applicable","Y","7","1000","50-100 ","35000","N","-1","N","-1","2","1","1","0","2","1","1","0","2","61","72","0","0","0","0","0","1","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","431","16.0","Hybrid","N","N","40-100 ","2006","Y","N","121.9","0","0.0","0.0","0.0","0.0"
"173612231","Standard ","6","Direct Billed to Insured","Pre-paid","N","42385","35","1997","HOND ACCORD LX   ","Standard","-1","13","2","Pleasure","-1","5","Unknown","Active Disabling","Y","9","1000","100-300","50000","N","-1","Y","250","2","0","2","1","1","0","1","1","2","19","46","1","0","0","0","1","0","0","0","Y","With Driver Training           ","Eligible for Good Student Credit    ","0","Y","N","Y","423","15.5","Preferred","Y","Y","100-200","2006","Y","N","572.4","0","0.0","0.0","0.0","0.0"
"174189131","Standard ","6","Direct Billed to Insured","Pre-paid","N","43008","30","1991","FORD RANGER      ","Standard","-1","4","1","Work    ","11","5","Unknown","Not Applicable","N","9","5000","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","77","77","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","430","15.5","Standard","N","N","20-50","2006","Y","N","138.86","0","0.0","0.0","0.0","0.0"
"174568330","Standard ","6","Direct Billed to Insured","Pre-paid","N","42479","32","1997","BUIK LESABRE CU  ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","-1","100-300","50000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","67","67","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","N","424","15.0","Preferred","N","N","100-200","2006","Y","N","153.7","0","0.0","0.0","0.0","0.0"
"174744239","Standard ","6","Direct Billed to Insured","Pre-paid","N","42462","35","1995","OLDS CUT SUP SL  ","Standard","-1","5","1","Work    ","10","5","Unknown","Alarm Only","N","9","2000","100-300","50000","N","-1","Y","250","1","0","1","0","0","1","0","0","1","80","80","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","424","37.3","Non-standard","N","Y","100-200","2006","Y","N","330.72","0","0.0","0.0","0.0","0.0"
"176948331","Standard ","6","Direct Billed to Insured","Installment","N","42770","31","1995","DODG RAM PU1500  ","Standard","-1","13","99","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","49","49","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","427","15.5","Standard","N","Y","20-50","2006","Y","N","347.68","0","0.0","0.0","0.0","0.0"
"177170639","Standard ","6","Direct Billed to Insured","Pre-paid","N","Unknown","35","1976","INTERN     TRUCK ","Standard","-1","5","1","Farm    ","-1","5","Unknown","Not Applicable","N","9","1000","250-500","100000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","69","69","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","Unknown","35.3","Preferred","N","N","100-400","2006","Y","N","124.02","0","0.0","0.0","0.0","0.0"
"177811339","Standard ","6","Direct Billed to Insured","Pre-paid","N","43905","31","1993","CADI DEVILLE     ","Standard","-1","12","1","Work    ","5","5","Unknown","Not Applicable","N","9","5000","25-50  ","25000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","66","66","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","439","35.0","Non-standard","Y","Y","20-50","2006","Y","N","322.24","0","0.0","0.0","0.0","0.0"
"177826730","Standard ","6","Direct Billed to Insured","Installment","N","43007","30","2003","CHEV TRAILBLZR   ","Standard","-1","11","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","4","1000","25-50  ","25000","N","-1","Y","500","1","0","1","0","1","0","1","0","0","36","36","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","15.0","Standard","Y","Y","20-50","2006","Y","N","349.8","0","0.0","0.0","0.0","0.0"
"178605520","Standard ","6","Direct Billed to Insured","Installment","N","42568","30","1993","MERC GR MAR LS   ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","5000","25-50  ","25000","N","-1","N","-1","2","1","1","0","2","1","1","0","2","63","66","0","0","0","0","0","1","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","425","10.0","Hybrid","N","N","20-50","2006","Y","N","132.5","0","0.0","0.0","0.0","0.0"
"179217229","Standard ","6","Direct Billed to Insured","Pre-paid","N","42980","30","1997","FORD E 150 4DR   ","Standard","-1","7","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","Y","250","1","0","1","0","1","0","1","0","1","48","48","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","429","14.5","Non-standard","Y","Y","20-50","2006","Y","N","449.44","0","0.0","0.0","0.0","0.0"
"179610229","Standard ","6","Direct Billed to Insured","Pre-paid","N","42491","35","1986","NSSN STANZA      ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","59","59","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","424","14.5","Preferred","N","N","20-50","2006","Y","N","124.02","0","0.0","0.0","0.0","0.0"
"180508030","Standard ","6","Direct Billed to Insured","Installment","N","43414","31","1988","NSSN PICKUP      ","Standard","-1","12","1","Work    ","10","5","Unknown","Not Applicable","N","9","1000","","-1","Y","75000","N","-1","1","1","0","0","1","1","0","0","1","54","54","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","434","14.6","Hybrid","N","Y","","2006","Y","N","153.7","0","0.0","0.0","0.0","0.0"
"180609229","Standard ","6","Direct Billed to Insured","Installment","N","43847","31","1999","CHEV S10 PICKUP  ","Standard","-1","15","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","8","1000","100-300","50000","N","-1","Y","250","1","0","1","1","0","1","0","0","1","43","43","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","438","14.5","Preferred","N","Y","100-200","2006","Y","N","428.24","0","0.0","0.0","0.0","0.0"
"180989329","Standard ","6","Direct Billed to Insured","Pre-paid","N","42674","13","1995","HOND CIVIC EX    ","Standard","-1","16","99","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","100-300","100000","N","-1","Y","500","1","1","0","1","0","1","0","0","1","46","46","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","426","14.5","Hybrid","N","Y","100-200","2006","Y","N","516.22","0","0.0","0.0","0.0","0.0"
"181465530","Standard ","6","Direct Billed to Insured","Pre-paid","N","43846","31","2001","GMC  SONOMA      ","Standard","-1","13","1","Pleasure","-1","5","Unknown","Not Applicable","Y","6","1000","100-300","50000","N","-1","Y","250","1","0","1","0","1","0","0","1","1","40","40","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","N","438","14.5","Preferred","N","Y","100-200","2006","Y","N","505.62","0","0.0","0.0","0.0","0.0"
"181752130","Standard ","6","Direct Billed to Insured","Installment","N","44052","18","1991","FORD FESTIVA L   ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","5000","50-100 ","35000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","54","54","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","440","14.5","Preferred","N","N","40-100 ","2006","Y","N","153.7","0","0.0","0.0","0.0","0.0"
"183736628","Standard ","6","Direct Billed to Insured","Pre-paid","N","43907","31","2003","JEEP GRCHER LTD  ","Standard","-1","13","1","Pleasure","-1","5","Unknown","Not Applicable","Y","4","10000","25-50  ","25000","N","-1","Y","250","1","1","0","0","1","1","0","0","0","71","71","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","Y","439","14.0","Standard","Y","Y","20-50","2006","Y","N","506.68","0","0.0","0.0","0.0","0.0"
"184730529","Standard ","6","Direct Billed to Insured","Pre-paid","N","42502","35","2002","FORD EXPLOR XLT  ","Standard","-1","10","1","Work    ","20","5","Unknown","Passive Disabling-Vehicle Recovery","Y","5","5000","50-100 ","50000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","37","37","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","425","14.5","Non-standard","Y","Y","40-100 ","2006","Y","N","429.3","0","0.0","0.0","0.0","0.0"
"185586530","Standard ","6","Direct Billed to Insured","Installment","Y","43653","31","2006","CHEV SILVERADO   ","Standard","-1","16","99","Work    ","20","5","Unknown","Not Applicable","Y","1","5000","50-100 ","50000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","34","34","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","436","13.9","Hybrid","Y","Y","40-100 ","2006","Y","N","737.76","0","0.0","0.0","0.0","0.0"
"187021828","Standard ","6","Direct Billed to Insured","Installment","N","43353","26","1995","CHEV GEOPRZ-LSI  ","Standard","-1","12","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","54","54","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","433","14.0","Hybrid","Y","Y","20-50","2006","N","N","273.48","0","0.0","0.0","0.0","0.0"
"187303828","Standard ","6","Direct Billed to Insured","Pre-paid","N","43366","31","2002","CHEV TAHOE       ","Standard","-1","11","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","5","1000","100-300","50000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","52","52","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","433","14.0","Standard","Y","Y","100-200","2006","Y","N","402.8","0","0.0","0.0","0.0","0.0"
"188482829","Standard ","6","Direct Billed to Insured","Pre-paid","N","42988","30","1994","CHEV S10 BLAZER  ","Standard","-1","15","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","-1","25-50  ","25000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","48","48","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","429","13.6","Non-standard","Y","Y","20-50","2006","Y","N","314.82","0","0.0","0.0","0.0","0.0"
"188566528","Standard ","6","Direct Billed to Insured","Pre-paid","N","43050","35","2001","TYTA TUNDRA LTD  ","Standard","-1","16","1","Work    ","3","5","Unknown","Passive Disabling-Vehicle Recovery","Y","6","5000","100-300","100000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","37","37","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","14.0","Hybrid","Y","Y","100-200","2006","Y","N","537.42","0","0.0","0.0","0.0","0.0"
"188765736","Standard ","6","Direct Billed to Insured","Pre-paid","Y","42887","35","2000","PONT BONVLE SLE  ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","8","-1","","-1","N","-1","N","-1","1","0","1","1","0","0","0","1","1","18","18","1","0","0","0","0","0","0","0","Y","Without Driver Training        ","Not Eligible for Good Student Credit","0","Y","N","Y","428","14.5","Preferred","Y","N","","2006","Y","N","279.84","0","0.0","0.0","0.0","0.0"
"189204340","Standard ","6","Direct Billed to Insured","Pre-paid","N","43661","31","1994","NSSN PKP-XE-SE   ","Standard","-1","14","1","Farm    ","-1","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","73","73","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","436","31.7","Non-standard","Y","Y","20-50","2006","Y","N","288.32","0","0.0","0.0","0.0","0.0"
"189466139","Standard ","6","Direct Billed to Insured","Pre-paid","N","42437","37","2000","CHEV SILVER1500  ","Standard","-1","10","1","Work    ","5","5","Unknown","Active Disabling","Y","7","-1","100-300","50000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","54","54","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","31.3","Preferred","Y","Y","100-200","2006","Y","N","357.22","0","0.0","0.0","0.0","0.0"
"189629127","Standard ","6","Direct Billed to Insured","Installment","N","42462","35","2000","CHEV MALIBU      ","Standard","-1","8","1","Work    ","12","5","Unknown","Not Applicable","N","7","25000","100-300","50000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","32","32","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","13.5","Non-standard","Y","Y","100-200","2006","Y","N","452.62","0","0.0","0.0","0.0","0.0"
"190223127","Standard ","6","Direct Billed to Insured","Pre-paid","N","42868","35","1998","OLDS 88-LS       ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","66","66","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","N","428","13.5","Preferred","N","N","20-50","2006","Y","N","121.9","0","0.0","0.0","0.0","0.0"
"190345327","Standard ","6","Direct Billed to Insured","Installment","N","43848","31","2001","TYTA CAMRY       ","Standard","-1","12","1","Work    ","6","5","Unknown","Not Applicable","Y","6","5000","100-300","100000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","40","40","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","438","13.5","Preferred","Y","Y","100-200","2006","Y","N","400.68","0","0.0","0.0","0.0","0.0"
"190651128","Standard ","6","Direct Billed to Insured","Installment","N","43980","31","1996","CHEV LUMINA      ","Standard","-1","5","1","Pleasure","-1","5","Unknown","Alarm Only","Y","9","5000","","-1","Y","100000","N","-1","1","0","1","0","1","1","0","0","1","35","35","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","439","13.6","Hybrid","N","N","","2006","N","N","135.57","0","0.0","0.0","0.0","0.0"
"191113340","Standard ","6","Direct Billed to Insured","Installment","N","Unknown","32","1986","CHEV C10         ","Standard","-1","7","1","Work    ","16","5","Unknown","Not Applicable","N","9","5000","50-100 ","50000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","58","58","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","Unknown","31.6","Preferred","N","N","40-100 ","2006","Y","N","215.18","0","0.0","0.0","0.0","0.0"
"192292422","Standard ","6","Direct Billed to Insured","Pre-paid","N","52187","31","1993","FORD F250        ","Standard","-1","6","1","Work    ","10","5","Unknown","Not Applicable","N","9","1000","100-300","50000","N","-1","Y","250","2","1","1","0","2","1","1","0","2","54","55","0","0","0","0","0","2","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","Y","521","13.3","Hybrid","Y","Y","100-200","2006","Y","N","363.58","0","0.0","0.0","0.0","0.0"
"192424227","Standard ","6","Direct Billed to Insured","Installment","Y","43000","35","2003","LINC AVIATOR     ","Standard","-1","14","1","Business","15","5","Unknown","Passive Disabling-Vehicle Recovery","Y","4","-1","","-1","Y","100000","Y","1000","1","1","0","1","0","1","0","0","0","52","52","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","13.4","Hybrid","Y","Y","","2006","Y","N","528.94","0","0.0","0.0","0.0","0.0"
"192736539","Standard ","6","Direct Billed to Insured","Pre-paid","N","Unknown","31","1984","TYTA PICKUP      ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","100-300","50000","N","-1","Y","100","1","1","0","0","1","1","0","0","1","68","68","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","Unknown","30.1","Hybrid","Y","Y","100-200","2006","Y","N","260.76","0","0.0","0.0","0.0","0.0"
"192809420","Standard ","6","Direct Billed to Insured","Pre-paid","N","43073","27","1991","DODG SPIRIT      ","Standard","-1","2","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","-1","25-50  ","25000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","72","72","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","N","430","9.6","Hybrid","N","N","20-50","2006","Y","N","114.48","0","0.0","0.0","0.0","0.0"
"193061826","Standard ","6","Direct Billed to Insured","Installment","N","42377","13","1993","HOND ACCORD LX   ","Standard","-1","10","1","Work    ","12","5","Unknown","Alarm Only","Y","9","-1","50-100 ","35000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","52","52","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","423","13.0","Non-standard","N","Y","40-100 ","2006","Y","N","420.82","0","0.0","0.0","0.0","0.0"
